move_id	Command	Hit level	Damage	Start up frame	Block frame	Hit frame	Counter hit frame	Notes	Move Name
2137	in rage b+1+2 in rage SAV b+1+2	m	55	20 pc8~17	-22	KND	KND	Rage art	Mt_RageArts00
2145	in rage d/b+1+2	mm	10,10	17~18, 37~38	+3~+4	KND	KND	Rage drive, Tail spin	Mt_RageArts_robot_n
2164	in rage d/b+1+2 (Second hit miss)	m	10	17~18	-?	KND	KND	Rage drive
1497	SAV 1+2	m	20(,5)	28~29 (38~) pc6~27	-21~-20	Launch	Launch	Power crush
	SAV 1+2*	m	23(,5)	41~42 (51~) pc6~27	-12~-11	Launch	Launch	Power crush
1456	SAV f+1+2	h	22	16~17 (26~)	+5~+6s	+6~+7s	+6~+7s		Mt_P_4lp00E
	SAV f+1+2, F	h, (SAV)	22	16~17 (26~)	+5~+6s	+6~+7s	+6~+7s	
1479	SAV d/f+1	m	15	14(24~)	-2	+8	+8	
	SAV d/f+1, F	m, (SAV)	15	14(24~)	-2	+8	+8	
1496	SAV d/f+2	m?	23	19~20 (29~)	-17~-16	Launch (JG?)	Launch (JG?)	
1468	SAV d+4	l	8	15(25~)	-14	-3	-3		Mt_P_wup2
	SAV d+4, F	l, (SAV)	8	15(25~)	-14	-3	-3	
1470	SAV d+4, 3	l, m	8,15	15(25~)	-15	-2	-2		Mt_P_1rk
	SAV d+4, 3, F	l, m, (SAV)	8,12	15(25~)	-15	-2	-2	
1509	SAV d/b+3	l	20	19~20 (29~)	-13~-12	+4~+5	KND	
	SAV d/b+3, F	l, (SAV)	20	19~20 (29~)	-13~-12	+4~+5	KND	
1465	SAV d/b+4	l (TC)	20	26~27s (38~) cs10~	-29	KND	KND	Homing	Mt_P_wup
1450	SAV b+1	m	16	14~15 (24~)	-7~-6	+1~+2	+1~+2		Mt_P_6lprp
	SAV b+1, F	m, (SAV)	16	14~15 (24~)	-7~-6	+1~+2	+1~+2	
1454	SAV b+1, 2	m, l (TC)	16,15	s cs15~	-18~-17	KND	KND		Mt_P_3lp00E
1452	SAV b+1, 4	m, m	16,17	15~	-10~-9	+8~+9	KND		Mt_P_6lprplp
1449	SAV b+2	m(Absorbs 1 h/m hit)	20	23(33~) (reversal 4~10)	-9	KND	KND	
1439	SAV b+3	h	20	17~18 (27~) pc8~16	-7~-6	KND	KND	Power crush	Mt_P_midp
	SAV b+3, F	h, (SAV)	20	17~18 (27~) pc8~16	-7~-6	KND	KND	Power crush
1461	SAV u/f+3	m	25	15~16 (25~) js14~	-9~-8	KND	KND	
	SAV , ,			(+10~)				
